date,id,sent_neg,sent_neu,sent_pos,sent_comp,topic_freq,topic_density
2018-12-29 03:21:27,3017434607093715522,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-29 03:30:45,3182032959162231959,0.004,0.925,0.072,0.991,2.0,0.0033613445378151263
2018-12-29 03:32:12,5699112974282145720,0.021,0.885,0.094,0.7039,0.0,0.0
2018-12-29 03:32:17,7781201519798879563,0.034,0.878,0.088,0.9931,6.0,0.010135135135135136
2018-12-29 03:32:22,6003718814766019670,0.024,0.881,0.094,0.5618,0.0,0.0
2018-12-29 03:32:33,5057000309987038310,0.026,0.895,0.079,0.4657,0.0,0.0
2018-12-29 03:32:43,130586982680522979,0.026,0.895,0.079,0.4657,0.0,0.0
2018-12-29 03:32:53,6705949603643137265,0.027,0.858,0.115,0.6529,0.0,0.0
2018-12-29 03:33:03,700800485805055764,0.025,0.842,0.133,0.7534,0.0,0.0
2018-12-29 03:33:13,1734771952105380145,0.051,0.891,0.058,-0.0675,0.0,0.0
2018-12-29 03:33:23,6059879816529505786,0.025,0.9,0.075,0.4657,0.0,0.0
2018-12-29 03:34:00,2641110225481514826,0.029,0.836,0.136,0.9955,0.0,0.0
2018-12-29 03:42:00,2644787259904125135,0.023,0.817,0.159,0.9962,0.0,0.0
2018-12-29 03:49:06,8531386833931676429,0.032,0.924,0.044,0.4497,0.0,0.0
2018-12-29 03:50:47,2911501458980407335,0.042,0.852,0.106,0.9882,0.0,0.0
2018-12-29 03:52:10,5128796137408848583,0.09,0.81,0.1,-0.2411,0.0,0.0
2018-12-29 03:52:20,6580471480716657672,0.066,0.903,0.03,-0.5682,0.0,0.0
2018-12-29 03:52:30,8346622522823307543,0.023,0.862,0.115,0.788,0.0,0.0
2018-12-29 03:52:40,6663782515247303655,0.054,0.858,0.088,0.3045,0.0,0.0
2018-12-29 03:52:51,5197282688925859696,0.049,0.889,0.063,0.0869,0.0,0.0
2018-12-29 03:53:01,8869335075758339004,0.041,0.795,0.164,0.8817,0.0,0.0
2018-12-29 03:53:11,1987491325966620845,0.023,0.907,0.07,0.4657,0.0,0.0
2018-12-29 03:53:19,952511205134734170,0.033,0.767,0.2,0.9993,0.0,0.0
2018-12-29 03:53:21,5841811723818333878,0.024,0.873,0.104,0.7397,0.0,0.0
2018-12-29 03:54:28,2688164098955858942,0.074,0.771,0.155,0.9995,1.0,0.000723589001447178
2018-12-29 03:56:52,9092446125175102241,0.011,0.888,0.101,0.9702,2.0,0.012658227848101266
2018-12-29 03:58:00,8502166791204700998,0.036,0.85,0.114,1.0,1.0,0.00017322016282695306
2018-12-29 04:00:37,226634985160929329,0.046,0.805,0.15,0.9961,9.0,0.024657534246575342
2018-12-29 04:06:00,4123736038557805973,0.003,0.937,0.06,0.9607,0.0,0.0
2018-12-29 04:07:00,7367998432232679417,0.085,0.709,0.206,0.5267,0.0,0.0
2018-12-29 04:12:11,6229735818996566733,0.025,0.842,0.133,0.7534,0.0,0.0
2018-12-29 04:12:21,6212202561079874626,0.026,0.895,0.079,0.4657,0.0,0.0
2018-12-29 04:12:31,6854301246615295629,0.027,0.858,0.115,0.6529,0.0,0.0
2018-12-29 04:12:41,3271401689370984209,0.026,0.875,0.099,0.5629,0.0,0.0
2018-12-29 04:12:52,8793701061275958572,0.026,0.895,0.079,0.4657,0.0,0.0
2018-12-29 04:13:22,4957390208476513237,0.037,0.861,0.101,0.9968,0.0,0.0
2018-12-29 04:16:00,3090808503376992076,0.043,0.763,0.195,0.9996,2.0,0.002635046113306983
2018-12-29 04:23:27,7687408331725566088,0.189,0.774,0.037,-0.9042,0.0,0.0
2018-12-29 04:24:42,8809256968764882449,0.179,0.8,0.02,-0.9771,0.0,0.0
2018-12-29 04:29:00,285975328661808279,0.042,0.795,0.163,0.9997,2.0,0.001943634596695821
2018-12-29 04:31:47,5913496246425682041,0.042,0.834,0.125,0.9998,1.0,0.0005296610169491525
2018-12-29 04:32:11,8564174759196865769,0.025,0.842,0.133,0.7534,0.0,0.0
2018-12-29 04:32:21,992496211529766680,0.025,0.842,0.133,0.7534,0.0,0.0
2018-12-29 04:32:31,8078831996994319619,0.026,0.875,0.099,0.5629,0.0,0.0
2018-12-29 04:32:42,9223333932636111869,0.028,0.886,0.086,0.4657,0.0,0.0
2018-12-29 04:32:52,5962156079903249470,0.024,0.881,0.094,0.5618,0.0,0.0
2018-12-29 04:34:00,5551517028363574109,0.097,0.798,0.104,0.601,1.0,0.0012787723785166241
